"dataset_ID","meantimes","coniferous_woodland_sum","deciduous_woodland_sum","wet_woodland_sum","pasture_sum","wet_meadow_sum","arable_sum","heath_sum"
"12",2495.8,0.0483,0.31485,0.32379,0.04741,0.05814,0.00984,0.18336
"12",2741.197,0.10888,0.37515,0.36331,0.00237,0.01065,0.00473,0.12899
"12",2937.323,0.08782,0.31723,0.2876,0.00768,0.00768,0.00659,0.28321
"12",3039.663,0.09033,0.31031,0.29012,0.00956,0.00956,0.01169,0.27099
"12",3133.014,0.10532,0.28085,0.38936,0.02447,0.00638,0.00319,0.1766
"12",3230.126,0.10963,0.38369,0.35695,0.01203,0.00134,0.00267,0.13102
"12",3382.778,0.06602,0.22731,0.45686,0.01275,0.00225,0.00225,0.22431
"12",3542.28,0.0775,0.23156,0.47339,0.00467,0.00093,0.00373,0.20261
"12",3675.086,0.15964,0.36015,0.33333,0.01916,0,0.00255,0.11494
"12",3782.671,0.1069,0.32747,0.4452,0.02436,0.00135,0.00677,0.07442
"12",3933.81,0.12388,0.2997,0.41459,0.01399,0,0.00799,0.13487
"12",4049.243,0.06006,0.36173,0.46229,0.01257,0,0.00279,0.08939
"12",4143.8,0.09121,0.19218,0.47801,0.0057,0,0.00163,0.22883
"12",4232.438,0.10011,0.32147,0.36707,0.00667,0.00334,0.00222,0.19577
"12",4331.842,0.09296,0.26854,0.25446,0.00563,0.00188,0.00939,0.35962
"12",4490.224,0.06064,0.14704,0.68469,0.00202,0.00101,0,0.10005
"12",4593.856,0.06179,0.1307,0.63356,0.00095,0.00048,0.00048,0.17205
"12",4675.792,0.05767,0.14923,0.19976,0.00119,0.00178,0.00178,0.58145
"12",4756.262,0.01449,0.03891,0.89589,0.00027,0,0,0.04937
"12",4833.042,0.08975,0.17712,0.26211,0.00556,0.00159,0,0.46307
"12",4909.289,0.09763,0.19173,0.33597,0.0044,0,0,0.36763
"12",4990.183,0.03688,0.25557,0.48113,0.00172,0.00086,0.00086,0.21784
"12",5093.009,0.0089,0.03159,0.92427,0.00024,0,0.00012,0.0339
"12",5249.135,0.0302,0.04722,0.9185,0.00144,0.00024,0.00048,0.00096
"12",5340.389,0.07965,0.17741,0.33888,0.0029,0.00072,0.00145,0.39609
"12",5422.809,0.10388,0.37547,0.28911,0.01252,0.0025,0,0.20776
"12",5502.309,0.11205,0.14856,0.34295,0.01358,0,0.0034,0.37097
"12",5584.055,0.07784,0.28044,0.37725,0.01297,0.002,0.00299,0.23752
"12",5682.686,0.08207,0.19567,0.18976,0.0046,0,0.00131,0.52134
"12",5883.728,0.07197,0.30207,0.36641,0.00763,0.00872,0.00218,0.22792
"12",6042.229,0.05981,0.22667,0.61423,6e-04,6e-04,6e-04,0.0945
"12",6137.455,0.10219,0.36253,0.29805,0.00852,0.00122,0,0.21898
"12",6222.822,0.0816,0.23844,0.3971,0.00453,0,0.00181,0.25657
"12",6299.96,0.13158,0.31895,0.27579,0.00737,0.00842,0,0.24632
"12",6376.137,0.07384,0.17674,0.55988,0.00698,0.00116,0.00058,0.17558
"12",6456.385,0.07201,0.25473,0.52475,0.0045,0.0063,0,0.12871
"12",6537.688,0.10139,0.33191,0.29136,0.0064,0.00213,0.00213,0.25187
"12",6635.953,0.06738,0.28723,0.31206,0.00355,0.00355,0,0.3156
"12",6828.158,0.07421,0.38742,0.30943,0.00881,0,0,0.21132
"12",6993.439,0.12346,0.36543,0.30988,0.07284,0.00864,0.00123,0.09136
"12",7066.8,0.11909,0.31201,0.38189,0.01378,0.00787,0.00197,0.12106
"12",7129.392,0.13981,0.45672,0.21571,0.03995,0.01065,0,0.01465
"12",7188.946,0.4359,0.30769,0.1859,0.01282,0.00641,0.00641,0.01923
"12",7252.605,0.19318,0.22727,0.10227,0.05682,0.03409,0,0
"12",7336.806,0.1757,0.1692,0.17137,0.06941,0.00868,0,0
"12",7431.258,0.23492,0.18182,0.13051,0.0126,0.14131,0.0018,0.0018
"12",7490.08,0.27454,0.18071,0.09209,0.00695,0.13988,0,0
"12",7541.192,0.19551,0.23596,0.09775,0.02472,0.04607,0.00112,0
"12",7599.822,0.08837,0.03589,0.01408,0.00227,0.01704,0.00023,0
"12",7688.586,0.09777,0.04792,0.0213,0.0029,0.01016,0,0
"12",7759.81,0.07269,0.04813,0.03291,0.0054,0.01793,0,0
"12",7810.38,0.03261,0.0188,0.01093,0.00384,0.00173,0.00019,0
"12",7856.731,0.17184,0.0634,0.03105,0.00044,0.01093,0,0
"12",7898.493,0.4451,0.08605,0.05638,0.00593,0.0178,0,0
"12",7938.871,0.45411,0.17874,0.10628,0.01449,0.01932,0.00483,0
"12",7980.771,0.51986,0.10748,0.10514,0.01051,0.00701,0.0035,0
"12",8025.067,0.11272,0.1409,0.24316,0.00483,0,0,0.00081
"12",8072.125,0.05965,0.08645,0.08267,0.18611,0.0034,0.00038,0
"12",8125.859,0.06432,0.03483,0.02217,0.02652,0.00396,0,2e-04
"12",8219.94,0.34058,0.37391,0.21159,0.01884,0.01884,0.00145,0
"12",8313.93,0.33581,0.36701,0.20654,0.02972,0.01486,0,0.00446
"12",8382.081,0.3915,0.35337,0.18768,0.01173,0.01026,0,0.00293
"12",8414.191,0.34165,0.40406,0.20905,0.01404,0.00156,0.00312,0.00156
"12",8444.339,0.36035,0.40773,0.17706,0.01995,0.01122,0.00125,0.00125
"12",8473.566,0.39601,0.32621,0.21083,0.01282,0.00712,0.00142,0.00142
"12",8503.083,0.31034,0.4023,0.21121,0.03017,0.00431,0,0.00144
"12",8532.22,0.44752,0.29738,0.18367,0.02332,0.00437,0,0.00292
"12",8561.665,0.41816,0.4044,0.1238,0.02613,0.00275,0.00413,0.00138
"12",8590.963,0.42879,0.28795,0.22692,0.01252,0.00626,0,0.00469
"12",8622.269,0.41407,0.40731,0.12855,0.01759,0.00406,0.00135,0.00135
"12",8651.757,0.73708,0.21861,0.01625,0.01477,0.00443,0,0.00295
"12",8680.532,0.45466,0.36146,0.14232,0.01637,0.00126,0,0.00126
"12",8709.642,0.5375,0.25312,0.15781,0.0125,0.00469,0.00156,0
"12",8738.987,0.3821,0.33097,0.24006,0.00852,0.00142,0.00142,0
"12",8766.494,0.37428,0.34827,0.19364,0.0159,0.00578,0,0
"12",8796.283,0.33668,0.38252,0.20774,0.01576,0.00716,0.00143,0.00143
"12",8824.484,0.37613,0.36405,0.19789,0.01964,0.00604,0,0.00151
"12",8853.283,0.28091,0.37903,0.26882,0.02285,0.00538,0.00134,0.00269
"12",8881.53,0.33649,0.37297,0.22162,0.00811,0.01216,0,0.00135
"12",8909.463,0.26453,0.40988,0.27035,0.0218,0,0.00291,0.00291
"12",8938.078,0.33837,0.36858,0.23112,0.0287,0.00604,0,0.00302
"12",8967.124,0.58455,0.33382,0.05831,0.0102,0.00437,0,0
"12",8997.1,0.65016,0.28435,0.04153,0.01118,0.00319,0.0016,0
"12",9025.563,0.5195,0.44011,0.01671,0.01532,0,0,0.00139
"12",9053.789,0.57369,0.37242,0.01268,0.02219,0.00634,0,0.00475
"12",9081.166,0.58763,0.3461,0.01178,0.01767,0.00147,0.00147,0.00147
"12",9109.566,0.71181,0.24882,0,0.00787,0.00157,0,0.00157
"12",9139.718,0.68428,0.26287,0.00949,0.02168,0,0,0
"12",9168.18,0.64088,0.29781,0.0073,0.03504,0.00292,0.00146,0.00146
"12",9197.912,0.60396,0.36492,0.00424,0.01697,0,0,0.00141
"12",9226.451,0.59821,0.35119,0.00595,0.0253,0.00298,0,0.00149
"12",9257.408,0.43394,0.51182,0.00695,0.02643,0.00417,0,0
"12",9287.134,0.60334,0.35258,0.00304,0.01976,0.00304,0,0
"12",9315.232,0.24906,0.59748,0.0239,0.06667,0.01635,0.00252,0
"12",9344.431,0.53876,0.2431,0.0276,0.11827,0.02628,0.00131,0.03548
"12",9374.141,0.2808,0.51862,0.01719,0.06304,0.04298,0.05444,0.01146
"12",9433.605,0.16241,0.58005,0.0116,0.12529,0.04176,0.05336,0.00928
"12",9495.527,0.45556,0.36944,0.02083,0.04028,0.01806,0.04028,0.03194
"20",1487.618,0.58545,0.30947,0.04734,0.00577,0.02309,0.00115,0.02079
"20",1635.112,0.62203,0.2905,0.04104,0.00108,0.0216,0.00324,0.01944
"20",1780.054,0.60182,0.32166,0.03243,0.0013,0.01946,0,0.02075
"20",1926.013,0.60803,0.30815,0.04014,0.00236,0.02007,0.00118,0.01653
"20",2072.76,0.66886,0.27332,0.04074,0.00263,0.0092,0,0.00526
"20",2226.754,0.61104,0.3212,0.0276,0.00627,0.01506,0,0.01631
"20",2391.488,0.62607,0.27671,0.02885,0.00427,0.04915,0.00321,0.00962
"20",2586.934,0.61997,0.29831,0.03502,0.01556,0.01167,0.0013,0.01427
"20",2933.672,0.61449,0.31953,0.02199,0.00906,0.0194,0,0.01294
"20",3273.253,0.61307,0.30402,0.03894,0.00503,0.01508,0,0.01884
"20",3584.977,0.68153,0.26497,0.0242,0.0051,0.01656,0,0.00637
"20",3890.647,0.59412,0.31665,0.037,0.00762,0.02612,0,0.01523
"20",4193.046,0.6408,0.29652,0.02687,0.00299,0.01692,0.001,0.00995
"20",4516.995,0.57399,0.36664,0.02168,0.0066,0.01791,0.00094,0.00848
"20",4949.49,0.6869,0.25476,0.03095,0.00357,0.00952,0.00357,0.00357
"20",5307.997,0.55393,0.3764,0.0382,0.00337,0.01461,0.00225,0.00787
"20",5648.385,0.62048,0.31928,0.03735,0.00241,0.01687,0,0
"20",5984.993,0.57748,0.35034,0.04427,0,0.0154,0,0.00674
"20",6325.69,0.58117,0.36255,0.02922,0.00108,0.01515,0.00108,0.00216
"20",6695.256,0.59184,0.33727,0.03437,0.00322,0.02148,0.00215,0.00322
"20",7113.436,0.62471,0.31647,0.03294,0.00235,0.01529,0,0.00118
"20",7414.326,0.6094,0.32342,0.03071,0.0048,0.01727,0,0.00288
"20",7697.835,0.55954,0.38722,0.01936,0.00678,0.00774,0.0029,0.00387
"20",7980.4,0.55887,0.38156,0.01986,0.00851,0.00993,0.00284,0.00426
"20",8268.111,0.49611,0.44271,0.01669,0.01112,0.01335,0.00111,0.00445
"20",8605.081,0.33293,0.6061,0.02195,0.00732,0.00976,0,0.00244
"20",8928.585,0.10704,0.79963,0.01189,0.02287,0.02104,0.00183,0.00366
"20",9202.832,0.1039,0.75902,0.02453,0.0202,0.02742,0,0.00144
"20",9473.491,0.08553,0.81053,0.01316,0.01184,0.02763,0.00263,0.00263
"20",9757.009,0.14576,0.76271,0.00678,0.00508,0.03729,0.00339,0.00508
"20",10102.748,0.10417,0.78958,0.01042,0.02083,0.05,0.00417,0.00208
"20",10238.767,0.0733,0.73822,0.02618,0.03403,0.07853,0.01571,0.02356
"20",10362.602,0.10706,0.58151,0.0219,0.06083,0.08273,0.0219,0.08029
"20",10589.158,0.03413,0.61433,0.03072,0.04437,0.06143,0.03413,0.15358
"317",8379.367,0.50316,0.34335,0.04272,0.02373,0.02373,0.00316,0.00633
"317",8684.627,0.54955,0.28378,0.02252,0.04279,0.02477,0,0.01577
"317",8986.03,0.47529,0.3384,0.03612,0.04943,0.02471,0.00951,0.00951
"317",9297.284,0.40265,0.38053,0.03982,0.04867,0.02655,0.00664,0.00442
"317",9651.305,0.28595,0.47993,0.03679,0.03177,0.02341,0.00669,0.00669
"317",10133.253,0.21344,0.45257,0.01581,0.04743,0.04348,0.00988,0.01186
"317",10498.949,0.20056,0.48164,0.02542,0.04661,0.02825,0.00424,0.00706
"317",10808.984,0.24426,0.47049,0.02131,0.04426,0.0377,0.01148,0.01475
"317",11105.419,0.2024,0.53507,0.02204,0.02806,0.04008,0.02605,0.04008
"317",11402.658,0.05031,0.39623,0.04403,0.06289,0.03145,0.01258,0.37421
"317",11743.436,0.0534,0.35922,0.04854,0.07767,0.05825,0.14563,0.20388
"317",12216.837,0.01439,0.27338,0.08633,0.15827,0.10791,0.25899,0.01439
"317",12555.205,0,0.16667,0.15196,0.05882,0.04412,0.33333,0
"317",12836.117,0.01293,0.06034,0.05603,0.04741,0.00862,0.74138,0
"317",13084.873,0.03982,0.05752,0.06195,0.03982,0.00885,0.60619,0
"317",13316.766,0.04225,0.14789,0.12676,0.03521,0.04225,0.43662,0
"317",8033.385,0.55338,0.29715,0.06406,0.02847,0.03203,0,0.00178
"317",7556.968,0.49406,0.33277,0.0781,0.02547,0.03565,0.0017,0.00509
"317",7184.579,0.5569,0.31552,0.06034,0.01552,0.01724,0.00172,0.00517
"317",6862.193,0.4704,0.35826,0.09969,0.02181,0.02025,0,0
"317",6548.752,0.49414,0.34673,0.07538,0.01843,0.02513,0,0.00335
"317",6220.996,0.5328,0.29622,0.0835,0.01193,0.04374,0,0.00596
"317",5834.783,0.43454,0.35933,0.07799,0.02507,0.039,0.00279,0.01671
"317",5444.339,0.46829,0.36341,0.07317,0.02195,0.02927,0,0.02195
"317",5209.597,0.42958,0.39437,0.06808,0.01643,0.03052,0.00235,0.03991
"317",5000.698,0.47967,0.32249,0.07859,0.03523,0.04065,0,0.02439
"317",4798.533,0.52074,0.32949,0.03917,0.02304,0.02995,0.00461,0.03456
"317",4591.005,0.49189,0.34324,0.05676,0.02162,0.02973,0,0.03243
"317",4327.731,0.50513,0.33333,0.06923,0.02564,0.03846,0,0.02308
"317",4009.963,0.38342,0.40674,0.08031,0.03368,0.03109,0.00259,0.02591
"317",3784.647,0.45161,0.35732,0.04715,0.02481,0.06203,0.00993,0.02233
"317",3586.203,0.44663,0.39326,0.05056,0.01124,0.04494,0.00281,0.02247
"317",3400.231,0.4573,0.36915,0.0551,0.01653,0.0551,0.00275,0.01653
"317",3221.932,0.41645,0.43767,0.06366,0.02122,0.03714,0.00265,0.01326
"317",3042.76,0.38689,0.39672,0.03607,0.04262,0.07213,0.00656,0.01967
"317",2863.165,0.40786,0.46437,0.01966,0.01966,0.0516,0.00491,0.01229
"317",2685.341,0.38622,0.43633,0.04175,0.02505,0.07307,0,0.01253
"317",2509.13,0.46596,0.36809,0.03191,0.02553,0.06596,0.00426,0.02128
"317",2328.966,0.42271,0.3913,0.04589,0.02657,0.05797,0,0.03382
"317",2141.601,0.49582,0.31476,0.04178,0.03343,0.0585,0.00557,0.02228
"720",8024.223,0.40578,0.42197,0.01965,0.06474,0.03006,0.00116,0.01965
"720",8379.088,0.3358,0.44083,0.02515,0.06213,0.0355,0.00296,0.01627
"720",8715.121,0.3302,0.41716,0.02468,0.07638,0.02585,0.00235,0.01763
"720",9040.537,0.22739,0.52128,0.0266,0.06649,0.02261,0.00399,0.0133
"720",9376.608,0.18382,0.48652,0.00858,0.09559,0.02941,0.00613,0.01593
"720",9747.93,0.23933,0.45122,0.01524,0.02439,0.04573,0.01829,0.03049
"720",9971.884,0.30556,0.44259,0.02037,0.0537,0.04444,0.01667,0.03704
"720",10069.045,0.18687,0.5101,0.0202,0.07828,0.04798,0.05556,0.03283
"720",10159.114,0.06925,0.4072,0.03601,0.11357,0.06925,0.10526,0.12188
"720",10242.949,0.0581,0.4526,0.05505,0.08563,0.03976,0.09174,0.15291
"720",10326.963,0.03271,0.3271,0.08411,0.11682,0.0514,0.17757,0.09346
"720",10414.149,0.00714,0.12143,0.10714,0.3,0.02857,0.16429,0
"720",10495.811,0.04211,0.26316,0.08421,0.04211,0.04211,0.44211,0
"720",7887.474,0.4129,0.42581,0.03355,0.04258,0.02581,0.00645,0.01935
"720",7631.513,0.43278,0.38763,0.03238,0.05299,0.02748,0.00196,0.01963
"720",7381.181,0.39141,0.43795,0.04654,0.03699,0.03699,0.00358,0.01551
"720",7126.14,0.3974,0.43896,0.05584,0.01429,0.02597,0.00909,0.03117
"720",6817.214,0.38182,0.42517,0.03497,0.02517,0.02797,0.0014,0.06993
"720",6439.486,0.37063,0.42797,0.03916,0.01259,0.05035,0.0028,0.07273
"720",6122.485,0.40268,0.38926,0.04027,0.02852,0.04195,0.00671,0.05537
"720",5819.016,0.37868,0.42096,0.03493,0.01838,0.04779,0,0.07353
"720",5512.969,0.44692,0.36644,0.04795,0.02226,0.0274,0.00514,0.07192
"720",5199.465,0.37886,0.39512,0.04228,0.02276,0.05366,0.00488,0.08293
"720",4881.143,0.42363,0.37176,0.03314,0.02017,0.05187,0.0072,0.07349
"720",4513.943,0.3989,0.43015,0.04044,0.01471,0.03493,0.00368,0.05699
"720",4156.909,0.40637,0.36704,0.03745,0.03745,0.0618,0.00187,0.07116
"720",3856.229,0.44931,0.32949,0.02304,0.04147,0.07143,0.00691,0.06912
"720",3565.029,0.46416,0.28315,0.04122,0.03763,0.07168,0.00896,0.06452
"720",3273.665,0.38813,0.40639,0.02283,0.03196,0.05632,0.00609,0.06697
"720",2971.669,0.33952,0.40631,0.03154,0.02968,0.09647,0.00371,0.06865
"720",2628.349,0.44056,0.33392,0.03846,0.02273,0.07168,0.00874,0.06818
"720",2404.247,0.45257,0.29393,0.01711,0.02799,0.08865,0.01244,0.0902
"720",2245.491,0.40263,0.3326,0.04814,0.03063,0.10284,0.01313,0.05689
"720",2097.926,0.41436,0.33333,0.02578,0.03683,0.11418,0.00552,0.05157
"720",1953.152,0.37952,0.31124,0.02008,0.04819,0.11647,0.00602,0.08233
"720",1806.308,0.37342,0.3038,0.0443,0.04114,0.12025,0.00633,0.09177
"720",1663.191,0.266,0.34,0.044,0.078,0.14,0.016,0.078
"977",1060.95,0.28702,0.20615,0.08656,0.18109,0.01822,0,0.04442
"977",1325.533,0.28173,0.2297,0.07995,0.13198,0.01777,0.00254,0.1231
"977",1575.767,0.28484,0.25917,0.07824,0.03912,0.02689,0.00244,0.11125
"977",1830.437,0.21867,0.16335,0.1331,0.10199,0.00432,0.00086,0.20138
"977",2095.654,0.1961,0.32454,0.06307,0.13876,0.02064,0.00573,0.05505
"977",2468.872,0.18255,0.16721,0.09612,0.11389,0.12843,0.00404,0.05897
"977",2804.785,0.24486,0.23868,0.09774,0.10597,0.0751,0.00309,0.07716
"977",3034.456,0.28715,0.21564,0.12626,0.09609,0.04469,0.00223,0.07598
"977",3254.858,0.27529,0.25529,0.08,0.11059,0.02235,0,0.10824
"977",3467.634,0.29979,0.22591,0.14561,0.05567,0.01927,0.00107,0.09101
"977",3684.493,0.27433,0.20083,0.26087,0.07453,0.01863,0.00104,0.05176
"977",3901.161,0.2775,0.3375,0.085,0.05,0.0175,0,0.06625
"977",4112.642,0.33491,0.24646,0.09198,0.08962,0.04009,0,0.06014
"977",4216.455,0.33292,0.22649,0.06436,0.08787,0.02723,0.00248,0.10767
"977",4432.052,0.32012,0.21857,0.07447,0.05029,0.05222,0.0029,0.10928
"977",4535.853,0.31752,0.25061,0.04866,0.06448,0.05596,0.00122,0.08637
"977",4742.21,0.24154,0.25671,0.12602,0.08868,0.04551,0.00233,0.05834
"977",4945.316,0.23536,0.30094,0.11475,0.04215,0.03044,0.00234,0.03864
"977",5157.051,0.1983,0.31728,0.0916,0.04627,0.04438,0.00378,0.06327
"977",5377.917,0.22811,0.31443,0.06165,0.02219,0.02096,0.00123,0.03699
"977",5734.226,0.19376,0.3363,0.09577,0.04009,0.01893,0.00557,0.04677
"977",6468.48,0.15225,0.34689,0.13581,0.0173,0.01644,0.00433,0.0346
"977",6944.179,0.11849,0.35659,0.18494,0.01661,0.01993,0.00332,0.03101
"977",7397.254,0.11532,0.2964,0.17748,0.01441,0.04595,0.0018,0.05856
"977",7842.254,0.15054,0.2219,0.14858,0.01662,0.04399,0.00293,0.07136
"977",8372.758,0.17874,0.29698,0.11824,0.03208,0.01008,0.00092,0.09899
"977",8745.253,0.24757,0.35437,0.07646,0.02427,0.01699,0.0085,0.05097
"977",9001.266,0.28468,0.31048,0.04516,0.04113,0.02661,0.01774,0.06371
"977",9184.922,0.27956,0.33181,0.05041,0.01283,0.00917,0.00642,0.09258
"977",9346.426,0.23406,0.38069,0.01913,0.03005,0.01821,0.01093,0.05647
"977",9502.935,0.20908,0.3315,0.04402,0.04814,0.01651,0.011,0.13067
"977",9656.924,0.20041,0.33164,0.03052,0.06205,0.03255,0.00712,0.06511
"977",9807.748,0.20833,0.44792,0.02604,0.05556,0.02951,0.00174,0.03385
"977",9958.279,0.17469,0.29857,0.02585,0.13904,0.01872,0.00891,0.04189
"977",10118.528,0.10627,0.36544,0.02294,0.26911,0.01835,0.00535,0.01682
"977",10299.092,0.05525,0.41033,0.02989,0.09511,0.02174,0.01087,0.06522
"977",10509.681,0.04851,0.33957,0.03396,0.14207,0.02495,0.02079,0.079
"977",10884.082,0.02989,0.37801,0.03086,0.10222,0.01639,0.01157,0.13983
"977",11217.481,0.01175,0.17083,0.02692,0.04601,0.01224,0.00685,0.32012
"977",11368.917,0.00905,0.22247,0.03167,0.07768,0.01584,0.00679,0.23077
"977",11523.936,0.01522,0.21258,0.01522,0.06494,0.01573,0.01826,0.08168
"977",11837.951,0.01227,0.2524,0.01067,0.09872,0.01121,0.03415,0.1238
"977",12044.048,0.01878,0.15374,0.00939,0.04417,0.00209,0.02713,0.21009
"977",12355.734,0.05212,0.16202,0.05831,0.14448,0.00361,0.08617,0.18473
"977",12684.004,0.1256,0.1976,0.1216,0.1008,0.04,0.1168,0.0456
"1438",169.122,0.63128,0.16684,0.03766,0.03556,0.00837,0.01569,0.02877
"1438",358.039,0.66061,0.08225,0.0329,0.04156,0.00952,0.02468,0.08355
"1438",549.677,0.58063,0.0992,0.03385,0.03808,0.00846,0.01363,0.14669
"1438",1039.741,0.5624,0.17997,0.03267,0.02999,0.00964,0.01553,0.05249
"1438",1420.89,0.51137,0.23901,0.0571,0.03032,0.01011,0.01415,0.02425
"1438",1805.733,0.36916,0.39347,0.10813,0.01791,0.00384,0.00704,0.00768
"1438",2324.974,0.40219,0.29794,0.11454,0.05534,0.00708,0.01673,0.00772
"1438",2571.484,0.41849,0.43004,0.05969,0.01412,0.00257,0.00578,0.00385
"1438",2979.786,0.39554,0.42467,0.08989,0.01922,0.0062,0.00372,0.00558
"1438",3265.973,0.51012,0.34764,0.05825,0.01288,0.00368,0.00245,0.0049
"1438",3627.566,0.38952,0.44669,0.07921,0.01906,0.00298,0.00417,0.00179
"1438",4011.453,0.41126,0.38281,0.09338,0.01855,0.0068,0.00371,0.00186
"1438",4586.801,0.37688,0.42399,0.09108,0.01256,0.0044,0.00188,0.00126
"1438",5002.82,0.37785,0.41611,0.10671,0.01074,0.0047,0.00403,0.00268
"1438",5235.116,0.35355,0.42207,0.09339,0.00728,0.00546,0.00182,0
"1438",5629.844,0.41656,0.38042,0.12089,0.00854,0.0046,0.00197,0.00131
"1438",6219.133,0.38478,0.43087,0.09986,0.01187,0.00489,0.00209,0.00279
"1438",6588.752,0.41315,0.35856,0.11538,0.00993,0.00496,0.00248,0.00186
"1438",6944.894,0.51567,0.33525,0.09597,0.00832,0.00576,0.00064,0.00192
"1438",7483.928,0.39089,0.44045,0.11111,0.00879,0.00639,0.0016,0.0016
"1438",7825.708,0.39442,0.39522,0.11633,0.00637,0.00398,8e-04,0.00159
"1438",8148.359,0.44973,0.33713,0.12936,0.01206,0.00268,0.00134,0.00067
"1438",8493.616,0.40541,0.34628,0.13176,0.01014,0.00507,0.00084,0.00084
"1438",8921.27,0.40192,0.34493,0.17321,0.02073,0.00814,0.00074,0.00148
"1438",9139.447,0.43314,0.34621,0.17831,0.01783,0.00371,0.00297,0.00149
"1438",9387.966,0.45582,0.35052,0.15538,0.01988,0.00442,0.00221,0.00368
"1438",9763.504,0.52235,0.30712,0.08692,0.02483,0.00166,0.00414,0.00248
"1438",10151.337,0.59038,0.3204,0.01396,0.03336,0.01164,0.00465,0.00853
"1438",10498.379,0.66531,0.23829,0.00679,0.04481,0.00883,0.00272,0.01765
"1438",10962.078,0.63842,0.27977,0.00804,0.03652,0.00804,0.00511,0.00877
"1438",11870.764,0.51966,0.36798,0.01124,0.04424,0.01264,0.00351,0.00772
"1438",13436.855,0.50379,0.17147,0.02377,0.06272,0.05008,0.01366,0.11988
"1438",13610.291,0.6429,0.11075,0.03133,0.08482,0.07077,0.01405,0.02377
"1438",13723.761,0.67761,0.08363,0.04142,0.04416,0.10395,0.01524,0.0168
"1438",13835.682,0.77367,0.0561,0.00657,0.0197,0.07635,0.04269,0.00903
"1438",14079.894,0.51793,0.10928,0.00911,0.06375,0.12009,0.12237,0.00455
"1438",14227.223,0.43913,0.09876,0.0118,0.07826,0.12795,0.18323,0.00621
"1438",14356.308,0.50426,0.1108,0.01847,0.11506,0.07244,0.11364,0.00284
"1438",14481.277,0.42191,0.10548,0.01893,0.07776,0.15957,0.13455,0.00406
